电影名,国家,导演及主演,年份,评分,引言,链接,类型
肖申克的救赎,美国,导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...,                            1994,9.7,希望让人自由。,https://movie.douban.com/subject/1292052/,犯罪剧情
霸王别姬,中国,导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...,                            1993,9.6,风华绝代。,https://movie.douban.com/subject/1291546/,剧情爱情同性
阿甘正传,美国,导演:罗伯特·泽米吉斯RobertZemeckis   主演:汤姆·汉克斯TomHanks/...,                            1994,9.5,一部美国近现代史。,https://movie.douban.com/subject/1292720/,剧情爱情
泰坦尼克号,美国 墨西哥,导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...,                            1997,9.5,失去的才是永恒的。 ,https://movie.douban.com/subject/1292722/,剧情爱情灾难
这个杀手不太冷,法国 美国,导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...,                            1994,9.4,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/,剧情动作犯罪
千与千寻,日本,导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...,                            2001,9.4,最好的宫崎骏，最好的久石让。 ,https://movie.douban.com/subject/1291561/,剧情动画奇幻
美丽人生,意大利,导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...,                            1997,9.6,最美的谎言。,https://movie.douban.com/subject/1292063/,剧情喜剧爱情战争
辛德勒的名单,美国,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...,                            1993,9.6,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/,剧情历史战争
星际穿越,美国 英国 加拿大,导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...,                            2014,9.4,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/,剧情科幻冒险
盗梦空间,美国 英国,导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...,                            2010,9.4,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/,剧情科幻悬疑冒险
楚门的世界,美国,导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...,                            1998,9.4,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/,剧情科幻
忠犬八公的故事,美国 英国,导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...,                            2009,9.4,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/,剧情
海上钢琴师,意大利,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...,                            1998,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://movie.douban.com/subject/1292001/,剧情音乐
三傻大闹宝莱坞,印度,导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...,                            2009,9.2,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/,剧情喜剧爱情歌舞
放牛班的春天,法国 瑞士 德国,导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:让-巴蒂斯特·莫尼...,                            2004,9.3,天籁一般的童声，是最接近上帝的存在。 ,https://movie.douban.com/subject/1291549/,剧情音乐
机器人总动员,美国,导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...,                            2008,9.3,小瓦力，大人生。,https://movie.douban.com/subject/2131459/,科幻动画冒险
无间道,中国,导演:刘伟强/麦兆辉   主演:刘德华AndyLau/梁朝伟TonyLeungChiuW...,                            2002,9.3,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/,剧情犯罪惊悚
疯狂动物城,美国,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...,                            2016,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://movie.douban.com/subject/25662329/,喜剧动画冒险
控方证人,美国,导演:比利·怀尔德BillyWilder   主演:泰隆·鲍华TyronePower/玛琳·...,                            1957,9.6,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/,剧情犯罪悬疑
大话西游之大圣娶亲,中国,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...,                            1995,9.2,一生所爱。,https://movie.douban.com/subject/1292213/,喜剧爱情奇幻古装
熔炉,韩国,导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJung/...,                            2011,9.4,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/,剧情
教父,美国,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...,                            1972,9.3,千万不要记恨你的对手，这样会让你失去理智。,https://movie.douban.com/subject/1291841/,剧情犯罪
触不可及,法国,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...,                            2011,9.3,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/,剧情喜剧
当幸福来敲门,美国,导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...,                            2006,9.2,平民励志片。 ,https://movie.douban.com/subject/1849031/,剧情传记家庭
怦然心动,美国,导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...,                            2010,9.1,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/,剧情喜剧爱情
龙猫,日本,导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...,                            1988,9.2,人人心中都有个龙猫，童年就永远不会消失。,https://movie.douban.com/subject/1291560/,动画奇幻冒险
末代皇帝,中国,导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...,                            1987,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/,剧情传记历史
寻梦环游记,美国,导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina   主演:...,                            2017,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,https://movie.douban.com/subject/20495023/,喜剧动画奇幻音乐
活着,中国,导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang,                            1994,9.3,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/,剧情历史家庭
蝙蝠侠：黑暗骑士,美国 英国,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,                            2008,9.2,无尽的黑暗。,https://movie.douban.com/subject/1851857/,剧情动作科幻犯罪惊悚
哈利·波特与魔法石,美国 英国,导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint,                            2001,9.2,童话世界的开端。,https://movie.douban.com/subject/1295038/,奇幻冒险
指环王3：王者无敌,美国 新西兰,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,                            2003,9.3,史诗的终章。,https://movie.douban.com/subject/1291552/,剧情动作奇幻冒险
乱世佳人,美国,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:费...,                            1939,9.3,Tomorrow is another day.,https://movie.douban.com/subject/1300267/,剧情历史爱情战争
我不是药神,中国,导演:文牧野MuyeWen   主演:徐峥ZhengXu/王传君ChuanjunWang/周...,                            2018,9.0,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/,剧情喜剧
飞屋环游记,美国,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...,                            2009,9.1,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/,剧情喜剧动画冒险
素媛,韩国,导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...,                            2013,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/,剧情
哈尔的移动城堡,日本,导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...,                            2004,9.1,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/,动画奇幻冒险
十二怒汉,美国,导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...,                            1957,9.4,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/,剧情
何以为家,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,导演:娜丁·拉巴基NadineLabaki   主演:扎因·拉费阿Zainal-Rafeea/...,                            2018,9.1,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/,剧情
摔跤吧！爸爸,印度,导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...,                            2016,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/,剧情传记运动家庭
让子弹飞,中国,导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...,                            2010,9.0,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/,剧情喜剧动作西部
鬼子来了,中国,导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...,                            2000,9.3,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/,剧情喜剧
猫鼠游戏,美国 加拿大,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...,                            2002,9.1,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/,传记犯罪剧情
少年派的奇幻漂流,中国,导演:李安AngLee   主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...,                            2012,9.1,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/,剧情奇幻冒险
天空之城,日本,导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...,                            1986,9.2,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/,动画奇幻冒险
海蒂和爷爷,德国 瑞士,导演:阿兰·葛斯彭纳AlainGsponer   主演:阿努克·斯特芬AnukSteffen/...,                            2015,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/,剧情冒险家庭
钢琴家,英国 法国 波兰 德国,导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...,                            2002,9.3,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/,剧情传记战争音乐
大话西游之月光宝盒,中国,导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...,                            1995,9.0,旷古烁今。,https://movie.douban.com/subject/1299398/,喜剧爱情奇幻古装
指环王2：双塔奇兵,美国 新西兰,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,                            2002,9.2,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/,剧情动作奇幻冒险
闻香识女人,美国,导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...,                            1992,9.1,史上最美的探戈。,https://movie.douban.com/subject/1298624/,剧情
罗马假日,美国,导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...,                            1953,9.1,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/,喜剧剧情爱情
天堂电影院,意大利 法国,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:菲利普·努瓦雷Philipp...,                            1988,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/,剧情爱情
死亡诗社,美国,导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...,                            1989,9.2,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/,剧情
绿皮书,中国,导演:彼得·法雷里PeterFarrelly   主演:维果·莫腾森ViggoMortensen/...,                            2018,8.9,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/,剧情喜剧传记音乐
大闹天宫,中国,导演:万籁鸣LaimingWan   主演:邱岳峰YuefengQiu/富润生RunshengFu...,                            1961 ,9.4,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/, 剧情动画奇幻古装
指环王1：护戒使者,新西兰 美国,导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...,                            2001,9.1,传说的开始。,https://movie.douban.com/subject/1291571/,剧情动作奇幻冒险
黑客帝国,美国,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...,                            1999,9.1,视觉革命。,https://movie.douban.com/subject/1291843/,动作科幻
教父2,美国,导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...,                            1974,9.3,优雅的孤独。,https://movie.douban.com/subject/1299131/,剧情犯罪
狮子王,美国,导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...,                            1994,9.1,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/,动画冒险歌舞
辩护人,韩国,导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/金英爱Yeong-ae...,                            2013,9.2,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/,剧情
饮食男女,中国,导演:李安AngLee   主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...,                            1994,9.2,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/,剧情家庭
搏击俱乐部,美国,导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...,                            1999,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/,剧情动作悬疑惊悚
美丽心灵,美国,导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/艾德·哈...,                            2001,9.1,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/,传记剧情
本杰明·巴顿奇事,美国,导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...,                            2008,9.0,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/,剧情爱情奇幻
穿条纹睡衣的男孩,英国 美国,导演:马克·赫尔曼MarkHerman   主演:阿萨·巴特菲尔德AsaButterfield...,                            2008,9.2,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/,剧情战争
窃听风暴,德国,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck  &n...,                            2006,9.2,别样人生。,https://movie.douban.com/subject/1900841/,剧情悬疑
情书,日本,导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...,                            1995,8.9,暗恋的极致。,https://movie.douban.com/subject/1292220/,剧情爱情
两杆大烟枪,英国,导演:盖·里奇GuyRitchie   主演:杰森·弗莱明JasonFlemyng/德克斯特...,                            1998,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/,剧情喜剧犯罪
西西里的美丽传说,意大利 美国,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...,                            2000,8.9,美丽无罪。,https://movie.douban.com/subject/1292402/,剧情战争情色
音乐之声,美国,导演:罗伯特·怀斯RobertWise   主演:朱莉·安德鲁斯JulieAndrews/克...,                            1965,9.1,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/,剧情传记爱情歌舞
看不见的客人,西班牙,导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...,                            2016,8.8,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/,剧情犯罪悬疑惊悚
阿凡达,美国,导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...,                            2009,8.8,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/,动作科幻冒险
拯救大兵瑞恩,美国,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...,                            1998,9.1,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/,剧情战争
小鞋子,伊朗,导演:马基德·马基迪MajidMajidi   主演:默罕默德·阿米尔·纳吉Mohamma...,                            1997,9.2,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/,剧情儿童家庭
飞越疯人院,美国,导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...,                            1975,9.1,自由万岁。,https://movie.douban.com/subject/1292224/,剧情
哈利·波特与死亡圣器(下),美国 英国,导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...,                            2011,9.0,10年的完美句点。,https://movie.douban.com/subject/3011235/,奇幻冒险
沉默的羔羊,美国,导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...,                            1991,8.9,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/,剧情犯罪惊悚
布达佩斯大饭店,美国 德国 英国,导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...,                            2014,8.9,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/,剧情喜剧冒险
禁闭岛,美国,导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...,                            2010,8.9,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/,剧情悬疑惊悚
蝴蝶效应,美国 加拿大,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...,                            2004,8.9,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/,剧情悬疑科幻惊悚
致命魔术,英国 美国,导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...,                            2006,8.9,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/,剧情悬疑惊悚
功夫,中国,导演:周星驰StephenChow   主演:周星驰StephenChow/元秋QiuYuen/...,                            2004,8.8,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/,动作喜剧犯罪奇幻
